Source / Medium,Browser,Operating System,Operating System Version,Device Category,Service Provider,Screen Resolution,Day of the month,Hour,Unique Events
emma / email,Samsung Internet,Android,7.1.2001,mobile,entel pcs telecomunicaciones s.a.,360x640,18,18,1
emma / email,Samsung Internet,Android,8.0,mobile,telefonica movil de chile s.a.,412x846,19,20,1
emma / email,Samsung Internet,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x640,18,20,1
emma / email,Samsung Internet,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x740,18,18,1
emma / email,Samsung Internet,Android,8.0.0,mobile,vtr banda ancha s.a.,360x740,18,20,1
emma / email,Samsung Internet,Android,8.0.0,mobile,vtr banda ancha s.a.,360x740,18,21,1
emma / email,Samsung Internet,Android,8.0.0,mobile,vtr banda ancha s.a.,412x846,18,23,1
emma.cl / referral,Chrome,Android,6.0,mobile,claro chile s.a.,360x640,16,20,1
emma.cl / referral,Chrome,Android,6.0,mobile,claro chile s.a.,360x640,20,8,1
emma.cl / referral,Chrome,Android,6.0,mobile,telef nica chile s.a.,360x640,17,0,1
emma.cl / referral,Chrome,Android,6.0,mobile,telefonica movil de chile s.a.,976x610,18,18,1
emma.cl / referral,Chrome,Android,6.0,mobile,vtr banda ancha s.a.,360x640,16,16,1
emma.cl / referral,Chrome,Android,6.0.1,mobile,vtr banda ancha s.a.,412x732,16,11,1
emma.cl / referral,Chrome,Android,7.0,mobile,centennial cayman corp chile s.a,360x640,16,11,1
emma.cl / referral,Chrome,Android,7.0,mobile,telef nica chile s.a.,360x640,16,12,1
emma.cl / referral,Chrome,Android,7.1.2001,tablet,vtr banda ancha s.a.,768x1024,20,13,1
emma.cl / referral,Chrome,Android,7.1.2002,mobile,entel pcs telecomunicaciones s.a.,360x640,18,18,1
emma.cl / referral,Chrome,Android,8.0.0,mobile,centennial cayman corp chile s.a,360x720,16,16,1
emma.cl / referral,Chrome,Android,8.0.0,mobile,claro chile s.a.,360x640,16,10,1
emma.cl / referral,Chrome,Android,8.0.0,mobile,claro chile s.a.,360x720,16,22,1
emma.cl / referral,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x720,16,13,1
emma.cl / referral,Chrome,Android,8.1.2000,mobile,entel pcs telecomunicaciones s.a.,360x640,16,11,1
emma.cl / referral,Chrome,Android,8.1.2000,mobile,telef nica chile s.a.,360x640,19,15,1
emma.cl / referral,Chrome,Macintosh,Intel 10.13,desktop,cl-teemsr-lacnic,1440x900,18,12,1
emma.cl / referral,Chrome,Windows,10,desktop,c a. de seguros generales suramericana s.a.,1366x768,17,14,1
emma.cl / referral,Chrome,Windows,10,desktop,cl-teemsr-lacnic,1920x1080,16,19,1
emma.cl / referral,Chrome,Windows,10,desktop,entel chile s.a.,1366x768,18,12,1
emma.cl / referral,Chrome,Windows,10,desktop,gtd teleductos,1366x768,17,9,1
emma.cl / referral,Chrome,Windows,10,desktop,telef nica chile s.a.,1366x768,16,22,1
emma.cl / referral,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,16,19,1
emma.cl / referral,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1536x864,18,2,1
emma.cl / referral,Chrome,Windows,7,desktop,cencosud retail s.a.,1366x768,18,12,1
emma.cl / referral,Chrome,Windows,7,desktop,entel chile s.a.,1366x768,16,14,1
emma.cl / referral,Chrome,Windows,7,desktop,merkaz chile s.a.,1600x900,16,12,1
emma.cl / referral,Chrome,Windows,7,desktop,telef nica chile s.a.,1366x768,19,15,1
emma.cl / referral,Chrome,Windows,7,desktop,telef nica chile s.a.,1440x900,17,10,1
emma.cl / referral,Chrome,Windows,7,desktop,telefonica movil de chile s.a.,1366x768,18,20,1
emma.cl / referral,Chrome,Windows,7,desktop,telefonica movil de chile s.a.,1366x768,18,21,0
emma.cl / referral,Edge,Windows,10,desktop,telef nica chile s.a.,1366x768,19,19,1
emma.cl / referral,Edge,Windows,10,desktop,vtr banda ancha s.a.,1366x768,18,18,1
emma.cl / referral,Firefox,Windows,10,desktop,telef nica chile s.a.,1366x768,16,13,1
emma.cl / referral,Firefox,Windows,10,desktop,telef nica chile s.a.,1366x768,16,14,1
emma.cl / referral,Firefox,Windows,10,desktop,telef nica chile s.a.,1366x768,16,15,1
emma.cl / referral,Firefox,Windows,10,desktop,telef nica chile s.a.,1366x768,16,16,1
emma.cl / referral,Safari,iOS,11.4.2001,mobile,entel pcs telecomunicaciones s.a.,320x568,16,10,1
emma.cl / referral,Safari,iOS,12.0,mobile,servicios adsl gtd internet,375x667,16,13,1
emma.cl / referral,Safari,iOS,12.0,mobile,vtr banda ancha s.a.,375x667,16,23,1
emma.cl / referral,Safari,iOS,12.0.1,mobile,telef nica chile s.a.,414x736,16,11,1
emma.cl / referral,Safari,iOS,12.0.1,mobile,telef nica chile s.a.,414x736,17,14,1
emma.cl / referral,Safari,Macintosh,Intel 10.13,desktop,vtr banda ancha s.a.,1366x768,21,9,1
emma.cl / referral,Samsung Internet,Android,6.0.1,mobile,entel pcs telecomunicaciones s.a.,360x640,16,21,1
emma.cl / referral,Samsung Internet,Android,6.0.1,mobile,entel pcs telecomunicaciones s.a.,360x640,16,22,0
emma.cl / referral,Samsung Internet,Android,6.0.1,mobile,entel pcs telecomunicaciones s.a.,360x640,19,1,1
emma.cl / referral,Samsung Internet,Android,7.0,mobile,entel chile s.a.,320x569,21,19,1
emma.cl / referral,Samsung Internet,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,16,16,1
emma.cl / referral,Samsung Internet,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,17,8,1
emma.cl / referral,Samsung Internet,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,15,10,1
emma.cl / referral,Samsung Internet,Android,7.1.2001,mobile,entel pcs telecomunicaciones s.a.,360x640,19,7,1
emma.cl / referral,Samsung Internet,Android,8.0.0,mobile,telefonica movil de chile s.a.,360x740,20,22,1
emma.cl / referral,Samsung Internet,Android,8.0.0,mobile,vtr banda ancha s.a.,320x658,18,18,1
google / cpc,Chrome,Android,5.0.2,mobile,claro chile s.a.,360x640,17,10,1
google / cpc,Chrome,Android,5.0.2,mobile,entel pcs telecomunicaciones s.a.,360x640,19,14,1
google / cpc,Chrome,Android,5.1,mobile,telmex servicios empresariales s.a.,360x640,19,13,1
google / cpc,Chrome,Android,5.1.2001,mobile,claro chile s.a.,360x640,18,12,1
google / cpc,Chrome,Android,5.1.2001,mobile,telef nica chile s.a.,320x534,15,22,1
google / cpc,Chrome,Android,6.0,mobile,centennial cayman corp chile s.a,360x640,18,15,1
google / cpc,Chrome,Android,6.0,mobile,claro chile s.a.,360x640,19,4,1
google / cpc,Chrome,Android,6.0,mobile,entel pcs telecomunicaciones s.a.,360x640,17,12,1
google / cpc,Chrome,Android,6.0,mobile,entel pcs telecomunicaciones s.a.,360x640,19,13,1
google / cpc,Chrome,Android,6.0,mobile,entel pcs telecomunicaciones s.a.,640x360,19,11,1
google / cpc,Chrome,Android,6.0,mobile,telef nica chile s.a.,360x640,16,17,1
google / cpc,Chrome,Android,6.0,mobile,telef nica chile s.a.,360x640,17,11,1
google / cpc,Chrome,Android,6.0,mobile,vtr banda ancha s.a.,360x640,18,11,1
google / cpc,Chrome,Android,6.0,mobile,vtr banda ancha s.a.,360x640,18,12,1
google / cpc,Chrome,Android,6.0.1,mobile,centennial cayman corp chile s.a,360x640,15,12,1
google / cpc,Chrome,Android,6.0.1,mobile,centennial cayman corp chile s.a,360x640,19,17,1
google / cpc,Chrome,Android,6.0.1,mobile,centennial cayman corp chile s.a,360x640,21,16,1
google / cpc,Chrome,Android,6.0.1,mobile,claro chile s.a.,360x640,15,13,1
google / cpc,Chrome,Android,6.0.1,mobile,entel pcs telecomunicaciones s.a.,360x640,15,15,1
google / cpc,Chrome,Android,6.0.1,mobile,vtr banda ancha s.a.,360x640,15,20,1
google / cpc,Chrome,Android,6.0.1,tablet,entel chile s.a.,1024x768,19,19,1
google / cpc,Chrome,Android,7.0,mobile,centennial cayman corp chile s.a,360x640,17,11,1
google / cpc,Chrome,Android,7.0,mobile,centennial cayman corp chile s.a,360x640,18,14,1
google / cpc,Chrome,Android,7.0,mobile,centennial cayman corp chile s.a,412x732,16,11,1
google / cpc,Chrome,Android,7.0,mobile,claro chile s.a.,320x570,18,15,1
google / cpc,Chrome,Android,7.0,mobile,claro chile s.a.,360x640,19,0,1
google / cpc,Chrome,Android,7.0,mobile,claro chile s.a.,360x640,19,9,1
google / cpc,Chrome,Android,7.0,mobile,conect s.a,360x640,17,13,1
google / cpc,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,15,21,1
google / cpc,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,15,22,1
google / cpc,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,17,17,1
google / cpc,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,18,12,1
google / cpc,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x640,19,11,1
google / cpc,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,360x740,19,12,1
google / cpc,Chrome,Android,7.0,mobile,entel pcs telecomunicaciones s.a.,432x768,18,17,1
google / cpc,Chrome,Android,7.0,mobile,telef nica chile s.a.,360x640,15,23,1
google / cpc,Chrome,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,15,10,1
google / cpc,Chrome,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,18,7,1
google / cpc,Chrome,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,18,10,1
google / cpc,Chrome,Android,7.0,mobile,telefonica movil de chile s.a.,360x640,18,14,1
google / cpc,Chrome,Android,7.0,mobile,telmex chile s.a hfc,360x640,18,13,1
google / cpc,Chrome,Android,7.0,mobile,telmex servicios empresariales s.a.,360x640,15,11,1
google / cpc,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,360x640,16,8,1
google / cpc,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,360x640,17,13,1
google / cpc,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,360x640,19,7,1
google / cpc,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,360x640,19,11,1
google / cpc,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,360x640,19,15,1
google / cpc,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,360x668,16,0,1
google / cpc,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,412x732,19,13,1
google / cpc,Chrome,Android,7.0,mobile,vtr banda ancha s.a.,412x732,19,19,1
google / cpc,Chrome,Android,7.1.2001,mobile,entel pcs telecomunicaciones s.a.,393x699,18,16,1
google / cpc,Chrome,Android,7.1.2001,mobile,telefonica movil de chile s.a.,320x569,19,17,1
google / cpc,Chrome,Android,7.1.2001,mobile,vtr banda ancha s.a.,360x640,17,10,1
google / cpc,Chrome,Android,7.1.2002,mobile,pacifico cable spa.,360x640,15,20,1
google / cpc,Chrome,Android,8.0.0,mobile,centennial cayman corp chile s.a,360x720,16,13,1
google / cpc,Chrome,Android,8.0.0,mobile,centennial cayman corp chile s.a,360x740,18,10,1
google / cpc,Chrome,Android,8.0.0,mobile,centennial cayman corp chile s.a,360x760,17,10,1
google / cpc,Chrome,Android,8.0.0,mobile,centennial cayman corp chile s.a,412x846,15,21,1
google / cpc,Chrome,Android,8.0.0,mobile,centennial cayman corp chile s.a,412x846,18,12,1
google / cpc,Chrome,Android,8.0.0,mobile,claro chile s.a.,360x640,16,13,1
google / cpc,Chrome,Android,8.0.0,mobile,claro chile s.a.,360x720,19,13,1
google / cpc,Chrome,Android,8.0.0,mobile,claro chile s.a.,360x740,21,17,1
google / cpc,Chrome,Android,8.0.0,mobile,conect s.a,360x640,15,0,1
google / cpc,Chrome,Android,8.0.0,mobile,conect s.a,360x720,15,17,1
google / cpc,Chrome,Android,8.0.0,mobile,ctc transmisiones regionales s.a.,360x640,16,13,1
google / cpc,Chrome,Android,8.0.0,mobile,entel chile s.a.,360x640,15,9,1
google / cpc,Chrome,Android,8.0.0,mobile,entel chile s.a.,360x740,17,18,1
google / cpc,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x640,18,12,1
google / cpc,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x640,19,13,1
google / cpc,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x640,21,9,1
google / cpc,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x720,18,8,1
google / cpc,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x740,16,9,1
google / cpc,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x740,18,14,1
google / cpc,Chrome,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,412x846,19,12,1
google / cpc,Chrome,Android,8.0.0,mobile,manquehuenet,360x720,17,8,1
google / cpc,Chrome,Android,8.0.0,mobile,telef nica chile s.a.,360x640,15,8,1
google / cpc,Chrome,Android,8.0.0,mobile,telef nica chile s.a.,360x740,15,20,1
google / cpc,Chrome,Android,8.0.0,mobile,telefonica movil de chile s.a.,360x640,15,23,1
google / cpc,Chrome,Android,8.0.0,mobile,telefonica movil de chile s.a.,360x640,17,9,1
google / cpc,Chrome,Android,8.0.0,mobile,telefonica movil de chile s.a.,412x732,21,1,1
google / cpc,Chrome,Android,8.0.0,mobile,telefonica movil de chile s.a.,412x846,17,13,1
google / cpc,Chrome,Android,8.0.0,mobile,telmex servicios empresariales s.a.,360x720,17,10,1
google / cpc,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,360x640,16,10,1
google / cpc,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,360x640,20,15,1
google / cpc,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,360x720,15,18,1
google / cpc,Chrome,Android,8.0.0,mobile,vtr banda ancha s.a.,360x740,16,18,1
google / cpc,Chrome,Android,8.1.2000,mobile,centennial cayman corp chile s.a,424x753,17,10,1
google / cpc,Chrome,Android,8.1.2000,mobile,cl-teemsr-lacnic,393x786,18,10,1
google / cpc,Chrome,Android,8.1.2000,mobile,entel pcs telecomunicaciones s.a.,360x720,16,10,1
google / cpc,Chrome,Android,8.1.2000,mobile,inversiones myj ltda,412x732,15,8,1
google / cpc,Chrome,Android,8.1.2000,mobile,vtr banda ancha s.a.,360x640,15,20,1
google / cpc,Chrome,iOS,11.2.2006,mobile,vtr banda ancha s.a.,414x736,15,0,1
google / cpc,Chrome,iOS,11.3,mobile,centennial cayman corp chile s.a,375x667,16,17,1
google / cpc,Chrome,iOS,12.0,tablet,vtr banda ancha s.a.,834x1112,20,9,1
google / cpc,Chrome,Macintosh,Intel 10.11,desktop,c a. de seguros generales suramericana s.a.,1366x768,17,10,1
google / cpc,Chrome,Macintosh,Intel 10.12,desktop,entel chile s.a.,1440x900,16,13,1
google / cpc,Chrome,Macintosh,Intel 10.12,desktop,vtr banda ancha s.a.,1280x800,18,13,1
google / cpc,Chrome,Macintosh,Intel 10.13,desktop,cl-teemsr-lacnic,1440x900,17,15,1
google / cpc,Chrome,Macintosh,Intel 10.13,desktop,cl-teemsr-lacnic,1440x900,18,12,1
google / cpc,Chrome,Macintosh,Intel 10.13,desktop,telef nica chile s.a.,1440x900,20,10,1
google / cpc,Chrome,Macintosh,Intel 10.14,desktop,manquehuenet,1440x900,16,15,1
google / cpc,Chrome,Macintosh,Intel 10.14,desktop,vtr banda ancha s.a.,1680x1050,15,22,1
google / cpc,Chrome,Windows,10,desktop,afp habitat s.a.,1366x768,19,19,1
google / cpc,Chrome,Windows,10,desktop,auter,1360x768,17,18,1
google / cpc,Chrome,Windows,10,desktop,banda ancha gtd manquehue,1600x900,18,10,1
google / cpc,Chrome,Windows,10,desktop,cl-teemsr-lacnic,1366x768,16,17,1
google / cpc,Chrome,Windows,10,desktop,cl-teemsr-lacnic,1366x768,18,13,1
google / cpc,Chrome,Windows,10,desktop,cl-teemsr-lacnic,1920x1080,19,11,1
google / cpc,Chrome,Windows,10,desktop,codelco chuquicamata,1366x768,17,8,1
google / cpc,Chrome,Windows,10,desktop,ctc. corp s.a. (telefonica empresas),1366x768,16,11,1
google / cpc,Chrome,Windows,10,desktop,ctc. corp s.a. (telefonica empresas),1920x1080,19,13,1
google / cpc,Chrome,Windows,10,desktop,entel chile s.a.,1366x768,16,15,1
google / cpc,Chrome,Windows,10,desktop,entel chile s.a.,1366x768,17,18,1
google / cpc,Chrome,Windows,10,desktop,entel chile s.a.,1366x768,18,17,1
google / cpc,Chrome,Windows,10,desktop,entel chile s.a.,1366x768,19,12,2
google / cpc,Chrome,Windows,10,desktop,entel chile s.a.,1920x1080,18,13,1
google / cpc,Chrome,Windows,10,desktop,gtd internet s.a.,1366x768,19,11,1
google / cpc,Chrome,Windows,10,desktop,gtd internet s.a.,1920x1080,16,15,1
google / cpc,Chrome,Windows,10,desktop,ifx networks chile s.a,1366x768,19,15,1
google / cpc,Chrome,Windows,10,desktop,larrain vial financial service,1920x1080,17,9,1
google / cpc,Chrome,Windows,10,desktop,ministerio del interior y de seguridad publica - gobierno de chi,1600x900,16,12,1
google / cpc,Chrome,Windows,10,desktop,ministerio del interior y de seguridad publica - gobierno de chi,1600x900,17,7,1
google / cpc,Chrome,Windows,10,desktop,ministerio del interior y de seguridad publica - gobierno de chi,1920x1080,16,8,1
google / cpc,Chrome,Windows,10,desktop,pacifico cable spa.,1366x768,15,23,1
google / cpc,Chrome,Windows,10,desktop,pacifico cable spa.,1440x900,19,12,1
google / cpc,Chrome,Windows,10,desktop,secico,1366x768,18,12,2
google / cpc,Chrome,Windows,10,desktop,servicio de telecomunicaciones vemos mas ltda.,1280x720,17,15,1
google / cpc,Chrome,Windows,10,desktop,soc de transportes ilzauspe ltda,1366x768,17,14,1
google / cpc,Chrome,Windows,10,desktop,socofar,1366x768,18,10,1
google / cpc,Chrome,Windows,10,desktop,telef nica chile s.a.,1366x768,15,22,2
google / cpc,Chrome,Windows,10,desktop,telef nica chile s.a.,1366x768,21,12,1
google / cpc,Chrome,Windows,10,desktop,telefonica del sur s.a.,1366x768,19,17,1
google / cpc,Chrome,Windows,10,desktop,telefonica empresas,1366x768,18,12,1
google / cpc,Chrome,Windows,10,desktop,telefonica empresas,1920x1080,16,17,1
google / cpc,Chrome,Windows,10,desktop,telefonica movil de chile s.a.,1366x768,17,10,1
google / cpc,Chrome,Windows,10,desktop,telmex chile internet s.a.,1920x1080,16,17,1
google / cpc,Chrome,Windows,10,desktop,universidad de concepcion,1280x1024,16,16,1
google / cpc,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1280x720,17,18,1
google / cpc,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,15,19,1
google / cpc,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,16,11,1
google / cpc,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,16,16,1
google / cpc,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,18,8,1
google / cpc,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,18,16,1
google / cpc,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,19,14,2
google / cpc,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1366x768,21,9,1
google / cpc,Chrome,Windows,10,desktop,vtr banda ancha s.a.,1920x1080,18,10,1
google / cpc,Chrome,Windows,7,desktop,adexus s.a.,1920x1080,16,15,1
google / cpc,Chrome,Windows,7,desktop,banco de credito e inversiones,1366x768,16,17,1
google / cpc,Chrome,Windows,7,desktop,banda ancha gtd manquehue,1366x768,17,14,1
google / cpc,Chrome,Windows,7,desktop,banda ancha gtd manquehue,1440x900,19,15,1
google / cpc,Chrome,Windows,7,desktop,cl-teemsr-lacnic,1366x768,16,10,1
google / cpc,Chrome,Windows,7,desktop,cl-teemsr-lacnic,1366x768,17,18,1
google / cpc,Chrome,Windows,7,desktop,cl-teemsr-lacnic,1366x768,19,10,1
google / cpc,Chrome,Windows,7,desktop,claro chile s.a.,1360x768,17,10,1
google / cpc,Chrome,Windows,7,desktop,clinica alemana de santiago s.a.,1920x1080,19,16,1
google / cpc,Chrome,Windows,7,desktop,compania industrial el volcan,1366x768,16,15,1
google / cpc,Chrome,Windows,7,desktop,corporacion banco de chile,1280x1024,16,9,1
google / cpc,Chrome,Windows,7,desktop,corporacion banco de chile,1280x1024,18,10,2
google / cpc,Chrome,Windows,7,desktop,corporacion banco de chile,1366x768,17,18,1
google / cpc,Chrome,Windows,7,desktop,ctc transmisiones regionales s.a.,1366x768,19,9,1
google / cpc,Chrome,Windows,7,desktop,ctc transmisiones regionales s.a.,1366x768,19,10,0
google / cpc,Chrome,Windows,7,desktop,entel chile s.a.,1280x800,18,10,1
google / cpc,Chrome,Windows,7,desktop,entel chile s.a.,1366x768,16,17,1
google / cpc,Chrome,Windows,7,desktop,entel chile s.a.,1366x768,18,17,1
google / cpc,Chrome,Windows,7,desktop,entel chile s.a.,1600x900,16,11,1
google / cpc,Chrome,Windows,7,desktop,entel pcs telecomunicaciones s.a.,1280x800,17,15,1
google / cpc,Chrome,Windows,7,desktop,entel pcs telecomunicaciones s.a.,1366x768,17,10,1
google / cpc,Chrome,Windows,7,desktop,exportadores de agro s.a,1920x1080,18,10,1
google / cpc,Chrome,Windows,7,desktop,gtd internet s.a.,1280x1024,16,12,1
google / cpc,Chrome,Windows,7,desktop,gtd internet s.a.,1366x768,15,10,1
google / cpc,Chrome,Windows,7,desktop,ifx networks chile s.a,1280x1024,19,13,1
google / cpc,Chrome,Windows,7,desktop,ifx networks chile s.a,1366x768,19,15,1
google / cpc,Chrome,Windows,7,desktop,inmobiliaria cl nica uc san carlos de apoquindo s.a.,1600x900,15,19,1
google / cpc,Chrome,Windows,7,desktop,manquehuenet,1366x768,17,9,1
google / cpc,Chrome,Windows,7,desktop,ministerio del interior y de seguridad publica - gobierno de chi,1536x864,16,16,1
google / cpc,Chrome,Windows,7,desktop,nivel 5,1366x768,15,14,1
google / cpc,Chrome,Windows,7,desktop,powerhost telecom spa,1280x1024,19,12,1
google / cpc,Chrome,Windows,7,desktop,salfa gestion comercial s.a.,1366x768,16,12,1
google / cpc,Chrome,Windows,7,desktop,servicios adsl gtd internet,1536x864,16,15,1
google / cpc,Chrome,Windows,7,desktop,sonda s.a.,1920x1080,19,10,1
google / cpc,Chrome,Windows,7,desktop,telef nica chile s.a.,1366x768,15,15,1
google / cpc,Chrome,Windows,7,desktop,telef nica chile s.a.,1366x768,18,13,1
google / cpc,Chrome,Windows,7,desktop,telef nica chile s.a.,1366x768,18,16,1
google / cpc,Chrome,Windows,7,desktop,telef nica chile s.a.,1440x900,18,9,1
google / cpc,Chrome,Windows,7,desktop,telef nica chile s.a.,1600x900,19,10,1
google / cpc,Chrome,Windows,7,desktop,telmex chile internet s.a.,1360x768,19,11,1
google / cpc,Chrome,Windows,7,desktop,telmex chile internet s.a.,1440x900,16,15,1
google / cpc,Chrome,Windows,7,desktop,telmex servicios empresariales s.a.,1366x768,16,14,1
google / cpc,Chrome,Windows,7,desktop,universidad de chile,1366x768,16,15,1
google / cpc,Chrome,Windows,7,desktop,universidad santo tomas,1366x768,16,14,1
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1280x1024,19,16,1
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1360x768,17,16,1
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,15,19,1
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,16,17,1
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,17,10,1
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,18,12,1
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,18,13,0
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1366x768,19,11,1
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1440x900,16,12,1
google / cpc,Chrome,Windows,7,desktop,vtr banda ancha s.a.,1920x1080,18,13,1
google / cpc,Chrome,Windows,8.1,desktop,telefonica del sur s.a.,1366x768,17,13,1
google / cpc,Chrome,Windows,8.1,desktop,vtr banda ancha s.a.,1366x768,15,18,1
google / cpc,Edge,Windows,10,desktop,vtr banda ancha s.a.,1366x768,15,17,1
google / cpc,Firefox,Windows,10,desktop,entel chile s.a.,1366x768,16,12,1
google / cpc,Firefox,Windows,7,desktop,champion s.a.,1366x768,18,10,1
google / cpc,Firefox,Windows,7,desktop,full conection ltda,1024x600,19,11,1
google / cpc,Firefox,Windows,7,desktop,telef nica chile s.a.,1093x614,15,11,1
google / cpc,Internet Explorer,Windows,10,desktop,telmex chile internet s.a.,1200x675,18,10,1
google / cpc,Internet Explorer,Windows,8.1,desktop,telef nica chile s.a.,1366x768,21,17,1
google / cpc,Opera,Windows,7,desktop,entel chile s.a.,1600x900,19,10,1
google / cpc,Opera,Windows,7,desktop,programa nac. de fiscaliz. de la subs.de transporte,1600x900,18,14,1
google / cpc,Safari,iOS,10.3.2003,mobile,vtr banda ancha s.a.,320x568,15,17,1
google / cpc,Safari,iOS,11.0.3,mobile,entel pcs telecomunicaciones s.a.,375x667,15,23,1
google / cpc,Safari,iOS,11.3,mobile,claro chile s.a.,375x667,16,16,1
google / cpc,Safari,iOS,11.4,mobile,multikom s.a.,375x667,19,0,1
google / cpc,Safari,iOS,11.4,mobile,telefonica movil de chile s.a.,375x667,20,19,1
google / cpc,Safari,iOS,11.4.2001,mobile,centennial cayman corp chile s.a,414x736,16,15,1
google / cpc,Safari,iOS,11.4.2001,mobile,claro chile s.a.,320x568,17,12,1
google / cpc,Safari,iOS,11.4.2001,mobile,claro chile s.a.,375x667,15,19,1
google / cpc,Safari,iOS,11.4.2001,mobile,cmet saci,375x667,15,13,1
google / cpc,Safari,iOS,11.4.2001,mobile,entel pcs telecomunicaciones s.a.,375x667,15,11,1
google / cpc,Safari,iOS,11.4.2001,mobile,telef nica chile s.a.,414x736,16,6,1
google / cpc,Safari,iOS,11.4.2001,mobile,vtr banda ancha s.a.,375x667,15,11,1
google / cpc,Safari,iOS,12.0,mobile,codelco chuquicamata,414x736,17,7,1
google / cpc,Safari,iOS,12.0,mobile,servicios adsl gtd internet,375x667,15,14,1
google / cpc,Safari,iOS,12.0,mobile,vtr banda ancha s.a.,414x736,15,20,1
google / cpc,Safari,iOS,12.0.1,mobile,entel pcs telecomunicaciones s.a.,375x667,17,15,1
google / cpc,Safari,iOS,12.0.1,mobile,entel pcs telecomunicaciones s.a.,375x667,19,16,1
google / cpc,Safari,iOS,12.0.1,mobile,entel pcs telecomunicaciones s.a.,375x667,21,12,1
google / cpc,Safari,iOS,12.0.1,mobile,entel pcs telecomunicaciones s.a.,414x736,17,10,1
google / cpc,Safari,iOS,12.0.1,mobile,inversiones myj ltda,375x812,19,14,1
google / cpc,Safari,iOS,12.0.1,mobile,telef nica chile s.a.,320x568,21,18,1
google / cpc,Safari,iOS,12.0.1,mobile,telefonica movil de chile s.a.,375x667,15,23,1
google / cpc,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,320x568,18,10,1
google / cpc,Safari,iOS,12.0.1,mobile,vtr banda ancha s.a.,375x667,18,8,1
google / cpc,Samsung Internet,Android,8.0.0,mobile,entel pcs telecomunicaciones s.a.,360x740,21,13,1
google / cpc,Samsung Internet,Android,8.0.0,mobile,telefonica movil de chile s.a.,360x740,18,17,1
google / organic,Chrome,Android,4.4.2002,mobile,telef nica chile s.a.,360x640,20,15,1
